step,episode,return,length,moving_average_return,policy_loss,value_loss,entropy,approx_kl,explained_variance,learning_rate,fps
1364,1,-86.72727272727306,341.0,-86.72727272727306,-0.005884258076548576,1.2803292274475098,2.7610578536987305,0.0028858070727437735,-0.007031440734863281,0.00024948799999999997,86
1836,2,-95.0537313432839,459.0,-90.89050203527847,0.0008575152605772018,57.388031005859375,2.7621731758117676,0.000285686575807631,-0.0003132820129394531,0.000249232,86
2288,3,-95.28181818181868,572.0,-92.35427408412521,0.0010036621242761612,93.43067169189453,2.7630248069763184,0.008134681731462479,0.0002804994583129883,0.000248976,87
3352,4,-143.10959409594147,838.0,-105.04310408707927,-0.0016342271119356155,1.3804559707641602,2.7638673782348633,0.010974531061947346,0.008821308612823486,0.000248464,87
5368,5,-15.094339622641884,1000.0,-87.05335119419179,-0.008872278034687042,0.8394303917884827,2.7615699768066406,0.02828952670097351,0.07889163494110107,0.00024744,87
5840,6,-26.573426573426783,1000.0,-76.97336375739762,-0.0024867281317710876,1.4398448467254639,2.7607920169830322,0.018620526418089867,0.09608232975006104,0.000247184,87
6292,7,-74.57627118644068,1000.0,-76.63092196154663,-0.0016843490302562714,1.7570571899414062,2.7599422931671143,0.011784405447542667,0.11002719402313232,0.000246928,87
7356,8,-50.49504950495125,1000.0,-73.36393790447221,-0.007126609329134226,1.602802038192749,2.758094310760498,0.007887108251452446,0.21491128206253052,0.000246416,87
9372,9,-27.586206896552017,1000.0,-68.27752334803662,-0.007893312722444534,0.5211708545684814,2.7583248615264893,0.01095402892678976,0.21460872888565063,0.000245392,87
9844,10,-18.91891891891955,1000.0,-63.34166290512492,0.014069814234972,4.287192344665527,2.758664131164551,0.01644025929272175,0.17472130060195923,0.000245136,87
10296,11,-50.980392156863246,1000.0,-59.76697484808394,-0.006080761551856995,1.0915944576263428,2.75961971282959,0.0029285582713782787,0.16745275259017944,0.00024488,87
11360,12,-20.502092050209747,1000.0,-52.31181091877653,-0.002886444330215454,2.0862433910369873,2.7600784301757812,0.0016799625009298325,0.20608896017074585,0.000244368,87
13376,13,-18.727915194346426,1000.0,-44.65642062002931,-0.010736845433712006,7.967873573303223,2.76013445854187,0.005677192937582731,0.3632155656814575,0.00024334400000000002,87
13848,14,90.64748201438931,1000.0,-21.28071300899623,-0.010106079280376434,9.096478462219238,2.760129928588867,0.013048789463937283,0.5436772108078003,0.000243088,87
14020,15,-126.69603960396067,664.0,-32.44088300712811,-0.010106079280376434,9.096478462219238,2.760129928588867,0.013048789463937283,0.5436772108078003,0.000243088,87
14300,16,139.7260273972613,1000.0,-15.810937610059295,-0.010106079280376434,9.096478462219238,2.760129928588867,0.013048789463937283,0.5436772108078003,0.000243088,87
17380,17,287.6811594202906,1000.0,20.414805450613834,0.004483882337808609,5.286740779876709,2.7545084953308105,0.007436767686158419,0.6238617897033691,0.000241552,88
17852,18,71.97452229299743,1000.0,32.6617626304087,0.007704995572566986,4.151888370513916,2.7546334266662598,0.005334373097866774,0.7407040596008301,0.00024129600000000003,88
18024,19,58.844765342963555,1000.0,41.30485985436026,0.043270599097013474,3.460206985473633,2.75484299659729,0.11605972796678543,0.7637215256690979,0.00024104,87
18304,20,305.79710144927526,1000.0,73.77646189117975,0.043270599097013474,3.460206985473633,2.75484299659729,0.11605972796678543,0.7637215256690979,0.00024104,88
21384,21,259.87261146497156,1000.0,104.86176225336321,-0.024846907705068588,10.228530883789062,2.7553982734680176,0.019393250346183777,0.5088114738464355,0.000239504,87
21856,22,203.13588850174563,1000.0,127.22556030855876,0.0004702787846326828,11.903891563415527,2.7556090354919434,0.009441399946808815,0.5565904974937439,0.00023924799999999998,87
22028,23,361.8320610687011,1000.0,165.28155793486349,-0.0005310066044330597,9.814781188964844,2.7555630207061768,0.009404661133885384,-0.01895296573638916,0.00023899200000000002,87
22308,24,348.9051094890487,1000.0,191.10732068232943,-0.0005310066044330597,9.814781188964844,2.7555630207061768,0.009404661133885384,-0.01895296573638916,0.00023899200000000002,87
25388,25,376.19047619047336,1000.0,241.39597226177284,-0.012616937980055809,10.796486854553223,2.7551023960113525,0.006371965631842613,0.3480936884880066,0.000237456,87
25860,26,412.9151291512869,1000.0,268.7148824371754,0.011583490297198296,8.76248836517334,2.755850315093994,0.011407948099076748,0.23957055807113647,0.0002372,87
26032,27,309.2409240924066,1000.0,270.8708589043871,0.011583490297198296,8.76248836517334,2.755850315093994,0.011407948099076748,0.23957055807113647,0.0002372,87
26312,28,191.66666666667075,1000.0,282.84007334175436,-0.009274594485759735,6.598130702972412,2.7561380863189697,0.004664790816605091,0.4002370834350586,0.000236944,87
29392,29,497.70114942527766,1000.0,326.72571174998575,-0.010779716074466705,24.655380249023438,2.7564780712127686,0.0392627976834774,0.19540315866470337,0.00023540800000000002,87
29864,30,362.68656716417746,1000.0,332.414658321476,0.02137318253517151,20.064891815185547,2.756357192993164,0.020224904641509056,0.24036365747451782,0.000235152,87
30036,31,452.38095238094587,1000.0,351.6654924130734,0.02137318253517151,20.064891815185547,2.756357192993164,0.020224904641509056,0.24036365747451782,0.000235152,87
30316,32,511.51079136689657,1000.0,382.50298269958853,-0.0186927393078804,12.472393035888672,2.7562320232391357,0.006767150014638901,0.30510371923446655,0.000234896,87
33396,33,388.59934853419264,1000.0,385.1797114461377,-0.0011703744530677795,27.563560485839844,2.75555682182312,0.009735757485032082,0.635155439376831,0.00023336000000000003,87
33868,34,430.07518796992275,1000.0,393.29671929422506,0.0002203071489930153,20.342952728271484,2.75555419921875,0.0019788164645433426,0.6588928699493408,0.000233104,87
34040,35,429.7805642633185,1000.0,398.65572810150957,0.0002203071489930153,20.342952728271484,2.75555419921875,0.0019788164645433426,0.6588928699493408,0.000233104,87
34320,36,230.85501858736532,1000.0,380.4497170451174,-0.007525196298956871,12.955163955688477,2.7555348873138428,0.003755156183615327,0.7202572822570801,0.00023284800000000002,87
37400,37,712.9496402877567,1000.0,420.8205886646524,-0.0017018113285303116,26.9759521484375,2.7555181980133057,0.008181429468095303,0.7233157157897949,0.00023131199999999998,87
37872,38,343.7086092715123,1000.0,436.0247829251366,-0.0017018113285303116,26.9759521484375,2.7555181980133057,0.008181429468095303,0.7233157157897949,0.00023131199999999998,87
38044,39,351.1784511784489,1000.0,421.37251310045366,-0.0006043724715709686,22.59970474243164,2.755486249923706,0.002491989405825734,0.7025005221366882,0.00023105600000000002,87
38324,40,508.8435374149615,1000.0,435.9882101255321,-0.0006043724715709686,22.59970474243164,2.755486249923706,0.002491989405825734,0.7025005221366882,0.00023105600000000002,87
41404,41,245.1327433628359,1000.0,415.26338922372105,0.006288325414061546,4.459273815155029,2.755571126937866,0.004710276611149311,0.9057956337928772,0.00022952,87
41632,42,-124.77508090614951,896.0,351.63480199641646,-0.007701624184846878,13.198501586914062,2.755540370941162,0.015247967094182968,-1.0410199165344238,0.000229264,87
41876,43,140.28268551237204,1000.0,326.80313569423447,-0.007701624184846878,13.198501586914062,2.755540370941162,0.015247967094182968,-1.0410199165344238,0.000229264,87
42328,44,183.0882352941228,1000.0,302.1044404266544,-0.010113932192325592,97.82461547851562,2.7555148601531982,0.008412743918597698,0.48865336179733276,0.000229008,87
45408,45,306.9400630914717,1000.0,289.8203903094697,0.0006201015785336494,11.732248306274414,2.755734920501709,0.001089989091269672,0.8020479679107666,0.00022747200000000002,86
45636,46,356.37583892616385,1000.0,302.37247234334956,0.0068076178431510925,18.629009246826172,2.7557601928710938,0.010083748027682304,0.6405874490737915,0.000227216,86
45880,47,140.8026755852893,1000.0,245.1577758731029,0.0068076178431510925,18.629009246826172,2.7557601928710938,0.010083748027682304,0.6405874490737915,0.000227216,86
46332,48,123.72881355932671,1000.0,223.1597963018843,-0.003806866705417633,11.242913246154785,2.755777359008789,0.005414753220975399,0.8084784746170044,0.00022696,86
49412,49,295.77039274923504,1000.0,217.61899045896294,0.00025571882724761963,19.818702697753906,2.755779266357422,0.0006445825565606356,0.7112780809402466,0.00022542400000000003,86
49640,50,381.4814814814804,1000.0,204.88278486561484,0.00025571882724761963,19.818702697753906,2.755779266357422,0.0006445825565606356,0.7112780809402466,0.00022542400000000003,86
49884,51,696.4912280701631,1000.0,250.01863333634756,0.0014955215156078339,41.55162048339844,2.7557549476623535,0.0017738565802574158,0.36323028802871704,0.000225168,86
50336,52,139.1304347826133,1000.0,276.4091849052238,-0.002182415686547756,20.309057235717773,2.755730152130127,0.004138656426221132,0.7524017691612244,0.00022491200000000002,86
53416,53,622.6027397260162,1000.0,324.64119032658823,-0.004031296819448471,15.555824279785156,2.756697416305542,0.005978789180517197,0.7529633641242981,0.00022337599999999998,86
53644,54,452.18855218854065,1000.0,351.55122201603,-0.004031296819448471,15.555824279785156,2.756697416305542,0.005978789180517197,0.7529633641242981,0.00022337599999999998,86
53888,55,442.31974921629126,1000.0,365.089190628512,-0.0024132877588272095,28.64859390258789,2.7567386627197266,0.0013675362570211291,0.10829240083694458,0.00022312,86
54340,56,825.7641921397237,1000.0,412.028025949868,-0.0018620193004608154,28.447967529296875,2.7567663192749023,0.0036256497260183096,-0.1819518804550171,0.000222864,86
56128,57,-4.9656934306545395,620.0,397.45118904827353,0.0008908770978450775,12.671285629272461,2.7567901611328125,0.015218677930533886,0.8000732660293579,0.000222096,86
57092,58,113.2726907630562,800.0,396.40557676864654,-0.0010388121008872986,18.728900909423828,2.756791830062866,0.0009028278873302042,0.6730853915214539,0.000221584,86
57420,59,190.7801418439768,1000.0,385.9065516781207,-0.01679852046072483,113.09457397460938,2.7567899227142334,0.008072856813669205,0.3794894814491272,0.000221328,86
58344,60,305.6939501779249,1000.0,378.32779854776516,-0.014675071462988853,11.413883209228516,2.7567784786224365,0.02830679342150688,0.8496458530426025,0.000221072,86
60132,61,659.124087591229,1000.0,374.5910844998717,0.006949704140424728,20.337783813476562,2.757232189178467,0.031052425503730774,0.7136937379837036,0.000220048,86
61096,62,263.9344262295126,1000.0,387.0714836445617,-0.004764782264828682,15.11374568939209,2.757333755493164,0.0013456126907840371,-0.15740132331848145,0.00021953600000000002,86
61424,63,500.70671378091055,1000.0,374.88188105005105,-0.004764782264828682,15.11374568939209,2.757333755493164,0.0013456126907840371,-0.15740132331848145,0.00021953600000000002,86
62348,64,516.1971830985817,1000.0,381.28274414105516,-0.005594365298748016,7.912286281585693,2.7573013305664062,0.007087983191013336,0.7156004905700684,0.000219024,86
64136,65,537.8205128205059,1000.0,390.8328205014767,-0.009939276613295078,6.249758243560791,2.7571096420288086,0.007615701761096716,0.9234943389892578,0.000218,86
65100,66,245.51495016610622,1000.0,332.80789630411493,0.005450015887618065,4.9884443283081055,2.7570409774780273,0.012679900974035263,0.9441999197006226,0.00021748800000000003,86
65428,67,515.131578947359,1000.0,384.8176235419163,0.005450015887618065,4.9884443283081055,2.7570409774780273,0.012679900974035263,0.9441999197006226,0.00021748800000000003,86
66352,68,513.0030959752257,1000.0,424.79066406313325,-0.001058913767337799,8.202154159545898,2.7571213245391846,0.01416040025651455,-0.08877801895141602,0.00021697600000000002,86
68140,69,577.9026217228354,1000.0,463.5029120510191,-0.009962937794625759,10.634074211120605,2.7572312355041504,0.0074228523299098015,0.8000417351722717,0.00021595200000000002,86
69104,70,540.2877697841622,1000.0,486.9622940116428,-0.010319426655769348,8.630117416381836,2.7572977542877197,0.005373366642743349,0.8731966614723206,0.000215696,86
69432,71,293.65079365078566,1000.0,450.4149646175985,-0.01589025929570198,33.79252624511719,2.757354736328125,0.01390552707016468,0.5935090780258179,0.00021543999999999998,86
70356,72,463.13993174060414,1000.0,470.3355151687077,-0.004416078329086304,9.454845428466797,2.75736141204834,0.008731919340789318,0.9244729280471802,0.000214928,86
